,"en","ru","pt-br","es-es","de","fr-fr","it","pl","zh-cn","jp","ko",,"NOTES – use \n for newline","max length"
"ap_connected_to_server","Connected to Archipelago server",,,,,,,,,,,,,
"ap_died_to","$0 died to $1",,,,,,,,,,,,,
"ap_died","$0 died",,,,,,,,,,,,,
"ap_bad_times","BAD TIMES!!",,,,,,,,,,,,,
"ap_kills_spawned_chest","$0 kills spawned a chest",,,,,,,,,,,,,
"ap_menu_server_settings_name","Server Settings",,,,,,,,,,,,,
"ap_menu_server_settings_desc","Archipelago server settings ",,,,,,,,,,,,,
"ap_menu_server_settings_address_name","Server",,,,,,,,,,,,,
"ap_menu_server_settings_address_desc","Server address",,,,,,,,,,,,,
"ap_menu_server_settings_port_name","Port",,,,,,,,,,,,,
"ap_menu_server_settings_port_desc","Server Port",,,,,,,,,,,,,
"ap_menu_server_settings_slot_name","Slot",,,,,,,,,,,,,
"ap_menu_server_settings_slot_desc","Slot name",,,,,,,,,,,,,
"ap_menu_server_settings_kills_for_chest_name","Spawn chest on kills",,,,,,,,,,,,,
"ap_menu_server_settings_kills_for_chest_desc","Number of kills required to spawn a chest",,,,,,,,,,,,,
"ap_menu_server_settings_redeliver_items_name","Redeliver Items",,,,,,,,,,,,,
"ap_menu_server_settings_redeliver_items_desc","Enables the redelivery of received items on new run",,,,,,,,,,,,,
"ap_shopitem_name","$0’s $1",,,,,,,,,,,,,
"ap_shopdescription_junk","This looks useless.",,,,,,,,,,,,,
"ap_shopdescription_useful","This might help but it doesn’t look like it’s needed.",,,,,,,,,,,,,
"ap_shopdescription_progression","This item appears to be important.",,,,,,,,,,,,,
"ap_shopdescription_trap1","You want this.",,,,,,,,,,,,,
"ap_shopdescription_trap2","Grab this immediately.",,,,,,,,,,,,,
"ap_shopdescription_trap3","Pick this up.",,,,,,,,,,,,,
"ap_shopdescription_trap4","Do it.",,,,,,,,,,,,"DunkOrSlam’s Twitch channel and “just do it” meme.",
"ap_shopdescription_trap5","Buy one, get one free!",,,,,,,,,,,,,
"ap_shopdescription_trap6","It looks so friendly. Do not resist. Don’t struggle.",,,,,,,,,,,,"https://subnautica.fandom.com/wiki/Mesmer",
"ap_shopdescription_trap7","You are so lucky that you found this most valuable artifact.",,,,,,,,,,,,"https://satisfactory.fandom.com/wiki/Mercer_Sphere",
"ap_shopdescription_trap8","The most fulfilling of lives is that in which you can buy anything!",,,,,,,,,,,,"https://slay-the-spire.fandom.com/wiki/The_Ssssserpent",
"ap_your_shopitem_name","Your $0",,,,,,,,,,,,,
